Pantun_ID,Line_1,Line_2,Line_3,Line_4
Pantun_2541_1,Lemang,lontong,rendang,"ketupat,"
Pantun_7181_1,Norma baru antaranya berwebinar,Penyertaan meluas ke luar negeri,Walaupun rentas negeri telah dibenar,Berhati-hatilah dan jagalah diri.
Pantun_7182_1,Rayuan datang demi rayuan,Jangan mudah undi diberi,Rumahtangga dibina dengan kesucian,Keberkatan hidup itulah yang dicari.
Pantun_7183_1,Masak gulai ikan tenggiri,Dicampur dengan santan kelapa,Usahlah digadai maruah diri,Laba duniawi yang tidak seberapa.
Pantun_7185_1,Kalau berkunjung ke negeri Perlis,Rasailah kari ikan nyuk-nyuk,eruskan berfikir,membaca menulis
Pantun_7198_1,Sudah lama menantikan hujan,Tumbuh-tumbuhan menghijau tanah yang basah,Mulakan hari dengan kesucian,Berbaik sangka dan banyak bersedekah.
Pantun_7480_1,Sigai bersisih dijalin kemas,Buat pelindung panas di beranda,Bagai kasih rantaiannya emas,Dihias kalung menghias dada.
Pantun_7497_1,Kain tenun mengukir seni,Kain pelekat batik lepas,Kasih sejati kasih murni,Cinta sayang datanglah lekas.
Pantun_7514_1,Bunga selasih dalam jambangan,Bekas di piring berisi gula,Jikalau kasih kekal berpanjangan,Telaga yang kering penuh semula.
Pantun_7518_1,Mentari bersulam cahaya indah,Air mengalir berulang menerus,Harmoni dalam ikatan ukhuwah,Bak air dicincang tidakkan putus.
Pantun_7534_1,Terbang camar tinggi di awan,Kicau senja mengajak pulang,Maniskan wajah dengan senyuman,Hati yang resah menjadi tenang.
Pantun_7598_1,Terbang camar tinggi di awan,Kicau senja mengajak pulang,Kasihmu samar hatiku rawan,Mungkinkah cinta dihatimu hilang.
Pantun_7599_1,Terbang camar tinggi di awan,Kicau senja mengajak pulang,Usah dicemar kasihku tuan,Setelah dipuja mengapa menghilang?.
Pantun_7615_1,Kalau pergi ke tanjung batu,Kirimkan saya sebatang lilin,Kita bangsa bersatu padu,Siraturahmi sentiasa terjalin.
Pantun_7617_1,Air kolah melalui terusan,Dengan ihsan kendalian cik nyonya,Semoga Allah permudahkan urusan,Menjawab peperiksaan dengan jayanya.
Pantun_7632_1,Sarang Tempua bergayut rendah,Bergayutan dicelah pohonnya mangga,Belajar sudah menghafalnya pun sudah,Doa dan tawakal semoga berjaya.
Pantun_7652_1,Kuih keria enak dimakan,Bersama mi dan roti kaya,Pelbagai cara telah diusahakan,Harapan kami semoga berjaya.
Pantun_7657_1,Hujan petang basahan diperah,Atap bertebar biarkan sahaja,Dugaan datang jangan menyerah,Tetap sabar teruskan usaha.
Pantun_7754_1,Hendak membuat kuih bauhulu,Pukul telur jangan melimpah,Semoga kita seperti dahulu,Hidup ceria dan meriah.
Pantun_7779_1,Malam cerah gemerlap bintang,Meresap ke jiwa duka terubat,Meskipun banyak cabaran mendatang,Ujian Tuhan mengangkat martabat.
Pantun_7783_1,Dalam pertikaian usah menyebelahi,Damaikan hati yang sedang berbalah,Rezeki melimpah Allah anugerahi,Syukuri dengan terus bersedekah.
Pantun_7784_1,Sejarah manusia terus berputaran,Membentang ibrah bukan kepalang,Menjejaki semula tanah kelahiran,Sekian lama telah terhalang.
Pantun_7789_1,Tinggi nilainya sikayu jati,Banyak terdapat di tanah seberang,Apabila bertindak berhati-hati,Jangan sampai menyinggung perasaan orang.
Pantun_7791_1,Bersimpati sahabat yang putus tunang,Punah seketika hasrat naik pelamin,Tempat jatuh lagi kan dikenang,Ini kan pula tempat bermain.
Pantun_7819_1,Simpan neraca di bawah rumah,Senang tetamu hendak menimbang,Walau cuaca kelihatan cerah,Siapa tahu bencana kan datang.
Pantun_7822_1,Ke Paya Jaras berjalan kaki,Membawa bekal pucuk betik,Kerja keras mencari rezeki,Usaha dan tawakkal itu yang baik.
Pantun_7831_1,Keris sakti ditempa molek,Taming sari tajam bercahaya,Rezeki tidak datang bergolek,Rajin usaha rahsia berjaya.
Pantun_7832_1,Mudik ke hulu mendayung kolek,Penat mendayung sampai ke seberang,Yang bulat takkan datang bergolek,Yang pipih takkan datang melayang.
Pantun_7847_1,Penuh berhurung pacat di kaki,Berjalan di lata selepas subuh,Sedang burung mencari rezeki,Patutkah kita berpeluk tubuh?
Pantun_7858_1,Wanita solehah idaman kalbu,Penyejuk mata ketika derita,Tidak ternilai kasihnya ibu,Tidak terbalas dek wang dan harta.
Pantun_7973_1,Melambai lambai pohon kelapa,Buah nye banyak bertandan tandan,Peluang kedua pasti ada,Jika nyawa masih di badan.
Pantun_7985_1,Seluang tidak berenang ke hulu,Lubuk di air si ikan limbat,Peluang tidak datang selalu,Kejarlah ia sebelum terlambat.
Pantun_8009_1,Menguning seri bunga akasia,Gugur merelai di atas pangkin,Peluang diberi usah dipersia,Perbaiki perangai sebaik mungkin.
Pantun_8089_1,Disisi ayah jalan terhendap,Menuju ke hulu dirintik hujan,Sukar berpayah perlu dihadap,Bersusah dulu bersenang kemudian.
Pantun_8165_1,Dipetik dapat empat,Harumnya buah kuini,Walau sudah dapat,Tidak seperti diingini.
Pantun_8171_1,Tinggi si gunung Daik,Burung terbang melayang,Selalu berbuat baik,Tetap di kenang orang.
Pantun_8185_1,Harum mewangi kemangi,Dibuat masak juadah,Bau setangi mewangi,Terselindung dibalik wadah.
Pantun_8195_1,Bersih taman kepayang,Dihias rumpun kekwa,Kasih pada yang sayang,Baru tidak kecewa.
Pantun_8203_1,Tanam padi huma,Tabur baja asli,Sentiasa kerjasama,Yang keruh dijernihi.
Pantun_8628_1,"Sebarkan ilmu usahlah kikir,Siddiq",amanah,tabligh,"fatonah;Segala penantian sudah berakhir,Mulakan tanggungjawab laksana amanah."
Pantun_9221_1,Makan berselera berlauk gulai,Sayur nangka berserta ikan,Para pesara aset bernilai,Pengalaman lalu wajar dimanfaatkan.
Pantun_9407_1,Setiap minit detik berharga,Masa dibuang tak kan kembali,Makan dan minum perlu dijaga,Kesihatan sempurna tak boleh dijual beli.
Pantun_9411_1,Hulurkan sedekah janganlah kikir,Tanda bersyukur kepada Tuhan,Teks ucapan saya sedang difikir,Untuk dipersembahkan Isnin harapan.
